id,peak,average
570,1033925,850120.5
730,767060,669691.4166666666
230410,115102,87943.66666666667
271590,204137,136832.25
814380,124334,24644.4
1046930,202254,75659.14285714286
1085660,292314,208771.33333333334
578080,1084606,797886.25
238960,117757,61467.833333333336
976730,93305,93305.0
779340,191816,55842.875
359550,148365,132720.08333333334
275850,61535,13532.083333333334
632360,69694,23589.1
440,103481,69677.08333333333
252490,93595,80344.16666666667
49520,80287,30120.416666666668
834910,55297,13235.25
289070,93889,48489.5
601150,88735,11700.7
4000,53218,45827.75
105600,57927,36182.75
381210,75044,41652.25
883710,74024,11818.583333333334
582010,97996,69545.91666666667
346110,83446,62239.916666666664
629760,60204,18077.88888888889
252950,80213,65486.333333333336
1174180,55269,55269.0
755790,58576,20865.833333333332
976310,27301,7909.111111111111
251570,37024,19660.833333333332
8930,39943,33551.666666666664
227300,45971,35673.25
812140,31704,17259.916666666668
489830,23687,20557.25
1172380,46513,29718.5
39210,41190,22307.25
444090,28070,22557.25
859580,29077,6714.333333333333
692850,26811,6080.571428571428
413150,38024,22705.833333333332
703080,38457,26864.0
377160,25568,22023.75
787860,24894,19762.5
236390,25719,21176.666666666668
813780,26767,23518.0
729040,22271,4208.666666666667
1089350,31353,23026.25
292030,94601,33723.75
617290,48194,18405.2
306130,32498,25366.583333333332
281990,31038,19483.833333333332
107410,32582,26662.416666666668
457140,27380,11632.083333333334
1128000,19465,6741.0
678960,33804,16280.75
304930,47500,26267.083333333332
841370,28638,19055.25
477160,29968,13277.083333333334
444200,32114,24134.833333333332
322330,66829,22706.916666666668
218620,56187,22759.583333333332
394360,46806,29526.75
594570,44898,30252.25
955900,18169,4032.9166666666665
435150,19299,14937.083333333334
291550,17583,14809.75
736190,21311,5388.833333333333
221100,24254,15905.333333333334
582660,59917,19646.166666666668
644930,17834,6072.0
550,26978,19772.666666666668
606880,16190,5708.5
264710,19035,5909.5
427520,22317,14124.833333333334
244850,23519,11483.916666666666
239140,18053,14495.5
440900,22210,13598.583333333334
552520,17762,7468.916666666667
858810,23738,4081.0
374320,18626,13783.833333333334
1066780,23150,23150.0
211820,20116,6394.416666666667
304390,15529,8780.666666666666
438100,28596,11425.083333333334
453480,20077,11703.666666666666
10,22902,17203.0
294100,18211,16324.416666666666
221380,20826,15655.666666666666
848450,15637,3476.3333333333335
219990,61093,14122.75
492720,15170,4458.2
361420,17891,5131.666666666667
431960,24959,17595.916666666668
203770,18227,12052.5
386360,16988,14751.5
236850,23109,20553.833333333332
255710,24892,20456.5
242760,18954,11824.583333333334
