id,peak,average
359550,148365,132720.08333333334
976730,93305,93305.0
730,767060,669691.4166666666
230410,115102,87943.66666666667
271590,204137,136832.25
578080,1084606,797886.25
1046930,202254,75659.14285714286
1085660,292314,208771.33333333334
814380,124334,24644.4
238960,117757,61467.833333333336
570,1033925,850120.5
779340,191816,55842.875
252950,80213,65486.333333333336
252490,93595,80344.16666666667
440,103481,69677.08333333333
834910,55297,13235.25
1174180,55269,55269.0
629760,60204,18077.88888888889
275850,61535,13532.083333333334
755790,58576,20865.833333333332
346110,83446,62239.916666666664
632360,69694,23589.1
883710,74024,11818.583333333334
105600,57927,36182.75
582010,97996,69545.91666666667
49520,80287,30120.416666666668
4000,53218,45827.75
381210,75044,41652.25
601150,88735,11700.7
289070,93889,48489.5
1089350,31353,23026.25
1172380,46513,29718.5
292030,94601,33723.75
218620,56187,22759.583333333332
594570,44898,30252.25
236390,25719,21176.666666666668
377160,25568,22023.75
477160,29968,13277.083333333334
859580,29077,6714.333333333333
107410,32582,26662.416666666668
394360,46806,29526.75
322330,66829,22706.916666666668
812140,31704,17259.916666666668
304930,47500,26267.083333333332
251570,37024,19660.833333333332
444200,32114,24134.833333333332
617290,48194,18405.2
227300,45971,35673.25
457140,27380,11632.083333333334
976310,27301,7909.111111111111
