id,peak,average
1623730,2101535,378188.6666666667
1245620,780786,176199.5
2767030,418832,418832.0
730,1740261,1492849.0833333333
570,943059,787642.25
1172470,469431,322919.5833333333
2694490,578562,578562.0
578080,807515,719821.0833333334
2358720,2406967,890163.2
553850,458208,172950.63636363635
2933620,2,1.3333333333333333
2054970,228285,38990.5
1085660,314379,93382.66666666667
2429640,333393,200836.33333333334
359550,200476,98569.66666666667
413150,236614,135828.0
1203220,385770,326914.9166666667
2074920,264860,86347.0
2183900,186199,71354.25
271590,218773,184786.33333333334
899770,258503,54941.083333333336
238960,228398,86209.41666666667
2139460,231343,134969.83333333334
1966720,203632,56234.25
2881650,63320,15328.222222222223
1086940,297492,141909.66666666666
431960,142248,129580.83333333333
1818750,114403,16861.416666666668
440,179882,108832.75
2195250,107109,63432.583333333336
1643320,120960,106861.0
3097560,109419,53492.0
526870,185957,47738.5
236390,121180,102172.58333333333
881020,113179,26744.727272727272
2507950,118626,118626.0
427520,118166,39296.666666666664
1145350,102386,21134.125
2073850,116913,35587.916666666664
251570,124449,73740.75
2300320,135883,114608.5
252490,191133,166392.41666666666
2669320,105743,90708.33333333333
1790600,120000,49645.666666666664
582010,162987,97607.66666666667
1604030,132519,22781.083333333332
289070,100567,78006.5
230410,119690,85115.91666666667
1363080,172605,38263.333333333336
1203620,160361,44036.666666666664
377160,186746,56277.75
218620,49489,34294.666666666664
1366800,87928,40530.25
1426210,69976,27314.25
1238810,69779,43846.25
2679460,85194,43022.666666666664
2321470,56876,13302.818181818182
275850,54901,25831.416666666668
322330,73568,61487.083333333336
304930,68749,44689.583333333336
227300,69211,56263.666666666664
220,64085,8282.166666666666
39210,91883,43240.0
221100,78739,66425.83333333333
1364780,69808,38957.75
1174180,72729,51726.25
1142710,73974,42306.333333333336
632360,74945,20610.916666666668
1845910,60656,40086.0
646910,55125,7031.333333333333
242760,109242,34270.833333333336
2479810,71503,19839.0
1063730,61364,20256.833333333332
739630,53806,33357.583333333336
594650,59968,31801.5
294100,62257,34062.416666666664
105600,61068,47950.333333333336
381210,99859,64402.416666666664
2357570,60819,51529.916666666664
1151340,72930,25648.75
1091500,72853,53199.083333333336
1326470,53964,29338.166666666668
2252570,88894,77414.16666666667
438100,55954,47563.25
2344520,55561,24158.0
1293830,75598,36051.916666666664
436150,53881,39700.666666666664
1222670,49988,46502.666666666664
2567870,92186,31196.428571428572
1782210,73889,58728.75
1145360,54015,12162.083333333334
1973530,50458,35567.166666666664
2016590,57141,32349.85714285714
548430,53558,25218.083333333332
1449850,53229,40803.916666666664
394360,93196,65567.83333333333
1599340,94636,48955.416666666664
2670630,51353,20575.727272727272
892970,81458,47926.416666666664
1248130,57185,47381.166666666664
289130,88785,10281.0
1158310,50493,29144.166666666668
2215430,77154,22514.5
550,71531,47723.416666666664
3070070,53322,31679.75
