id,peak,average
1568590,701898,134229.91666666666
1085660,316651,150504.66666666666
1086940,875343,192988.58333333334
990080,527652,87902.45454545454
1326470,411804,69997.0
1599340,333008,116054.0
1172470,624473,475930.75
730,1802853,1414604.5
578080,623852,449355.0833333333
570,855495,757053.3333333334
1716740,330597,134400.75
238960,209526,79426.58333333333
1888160,156022,55172.0
1966720,239369,142469.0
252490,182335,155249.83333333334
440,253225,139231.25
1091500,273990,79253.5
1938090,190273,139828.33333333334
2073850,242399,242399.0
271590,295651,181964.25
1203220,295419,200032.08333333334
2050650,111172,34671.7
1868140,98281,18664.0
230410,115322,74251.83333333333
304930,112648,72716.66666666667
1920960,85283,49074.8
251570,96208,53580.833333333336
2195250,81526,74810.0
1260320,57806,30531.75
1811260,110757,67385.0
346110,94570,71150.5
2252570,86828,85394.5
1238810,114017,39615.416666666664
1245620,106913,62382.5
1282100,110756,42336.666666666664
671860,86636,43035.28571428572
892970,102613,48981.25
550,85147,56851.333333333336
2399830,98047,83589.66666666667
322330,114109,67554.41666666667
1517290,107006,30749.333333333332
739630,86124,35219.0
236390,114806,97497.66666666667
381210,87747,56603.166666666664
949230,76549,50254.333333333336
359550,95149,75104.08333333333
289070,81217,73429.58333333333
1281930,46377,36536.916666666664
394360,78086,55015.666666666664
489830,41990,34082.666666666664
