id,peak,average
2358720,2406967,890163.2
1172470,469431,322919.5833333333
570,943059,787642.25
1623730,2101535,378188.6666666667
553850,458208,172950.63636363635
730,1740261,1492849.0833333333
578080,807515,719821.0833333334
2767030,418832,418832.0
1245620,780786,176199.5
2694490,578562,578562.0
1966720,203632,56234.25
2933620,2,1.3333333333333333
238960,228398,86209.41666666667
2881650,63320,15328.222222222223
271590,218773,184786.33333333334
359550,200476,98569.66666666667
2074920,264860,86347.0
1203220,385770,326914.9166666667
1085660,314379,93382.66666666667
2054970,228285,38990.5
2183900,186199,71354.25
1086940,297492,141909.66666666666
413150,236614,135828.0
2429640,333393,200836.33333333334
2139460,231343,134969.83333333334
899770,258503,54941.083333333336
2300320,135883,114608.5
2669320,105743,90708.33333333333
2195250,107109,63432.583333333336
440,179882,108832.75
236390,121180,102172.58333333333
427520,118166,39296.666666666664
431960,142248,129580.83333333333
881020,113179,26744.727272727272
1818750,114403,16861.416666666668
3097560,109419,53492.0
526870,185957,47738.5
230410,119690,85115.91666666667
251570,124449,73740.75
2073850,116913,35587.916666666664
377160,186746,56277.75
2507950,118626,118626.0
252490,191133,166392.41666666666
582010,162987,97607.66666666667
289070,100567,78006.5
1604030,132519,22781.083333333332
1145350,102386,21134.125
1790600,120000,49645.666666666664
1643320,120960,106861.0
1203620,160361,44036.666666666664
