id,score,total_reviews,total_positive,total_negative
203160,8,48009,45335,2674
1172380,8,78286,69675,8611
4000,9,505393,490481,14912
1644960,5,11838,8105,3733
1888160,8,37987,35539,2448
2300320,8,9830,8091,1739
1203620,8,38528,33762,4766
221100,6,169471,124735,44736
1091500,8,348038,306484,41554
261550,8,91399,79700,11699
1677740,8,307,268,39
868270,6,284,219,65
424370,5,27655,15683,11972
457140,9,46150,44318,1832
882100,6,12637,9386,3251
976310,8,24536,21284,3252
1245620,8,412699,388966,23733
440,6,25828,19137,6691
1142710,6,51462,39053,12409
859580,5,12305,8234,4071
1371580,6,3133,2289,844
736190,8,1528,1411,117
1097150,8,148997,124887,24110
745920,8,17888,14814,3074
1604030,8,51347,46178,5169
1782210,0,0,0,0
529340,5,18776,13136,5640
1296830,8,1252,1184,68
1190340,0,0,0,0
1549250,0,0,0,0
1920960,0,0,0,0
2358720,8,65170,61275,3895
361420,8,51084,46881,4203
1124300,5,11856,8127,3729
435150,9,79041,75405,3636
729040,6,11769,9316,2453
286160,9,29371,28266,1105
306130,8,71542,58779,12763
1277400,8,3504,3253,251
3097560,8,13619,12237,1382
1086940,9,416681,403706,12975
413150,9,362370,358337,4033
227300,9,130400,127206,3194
680420,5,30338,20869,9469
477160,9,29565,28155,1410
1466860,8,25334,21953,3381
1817070,9,47860,46227,1633
949230,5,29329,15844,13485
1774580,5,44061,30101,13960
1172470,6,1032,821,211
1049590,7,19,17,2
1448440,6,3233,2294,939
203770,8,22358,20750,1608
883710,9,46790,45315,1475
